trade_id,symbol,entry_time,exit_time,qty,entry_price,exit_price,pnl,return_pct,holding_days,entry_strategy_id,entry_strategy_version_id,entry_signal_strength,entry_confidence,entry_reason,entry_price_source,exit_reason,exit_strategy_id,exit_trigger,market_regime,outcome_label
broker_match_0117_NBIS,NBIS,2026-05-13T15:03:08.715064Z,2026-05-13T17:32:19.136655Z,260,208.1,213.6,1430.0,0.0264,0,breakout_momentum_v1,breakout_momentum_v2_threshold_tuned,1.0,0.85,Strong bullish momentum (19.10%) indicates breakout (intraday weak: smoothed=-1.12%),,broker_fill,broker_reconstructed,,neutral,neutral
broker_match_0156_QTUM,QTUM,2026-05-13T17:32:28.279752Z,2026-05-14T13:34:52.339367Z,660,147.0,146.14,-567.75,-0.0059,0,breakout_momentum_v1,breakout_momentum_v2_threshold_tuned,0.748042128004321,0.6358358088036729,Strong bullish momentum (7.48%) indicates breakout (intraday weak: smoothed=-2.48%),,broker_fill,broker_reconstructed,,neutral,neutral
broker_match_0144_PTF,PTF,2026-05-13T17:32:31.298287Z,2026-05-14T13:31:33.13156Z,795,122.96,121.05,-1518.45,-0.0155,0,breakout_momentum_v1,breakout_momentum_v2_threshold_tuned,1.0,0.85,Strong bullish momentum (11.62%) indicates breakout (intraday weak: smoothed=-1.52%),,broker_fill,broker_reconstructed,,neutral,neutral
broker_match_0137_PSCT,PSCT,2026-05-13T17:49:42.62329Z,2026-05-14T13:33:23.450464Z,1214,79.24,78.42,-998.93,-0.0104,0,breakout_momentum_v1_intraday_enhanced,breakout_momentum_v2_threshold_tuned,1.0,0.8490144111313578,"Strong bullish momentum (9.99%) indicates breakout + Intraday confirmed (smoothed=4.81%, VWAP=neutral)",,broker_fill,broker_reconstructed,,neutral,neutral
broker_match_0166_SHOC,SHOC,2026-05-13T17:49:45.973944Z,2026-05-14T13:30:28.126569Z,950,108.08,107.13,-902.5,-0.0088,0,breakout_momentum_v1_intraday_enhanced,breakout_momentum_v2_threshold_tuned,1.0,0.85,"Strong bullish momentum (12.49%) indicates breakout + Intraday confirmed (smoothed=12.41%, VWAP=neutral)",,broker_fill,broker_reconstructed,,neutral,neutral
broker_match_0205_TTEQ,TTEQ,2026-05-13T17:49:50.130232Z,2026-05-14T13:33:06.359314Z,1651,41.49,41.16,-539.64,-0.0079,0,breakout_momentum_v1,breakout_momentum_v2_threshold_tuned,0.590121872995511,0.5016035920461843,Strong bullish momentum (5.90%) indicates breakout (intraday weak: smoothed=-0.45%),,broker_fill,broker_reconstructed,,neutral,neutral
broker_match_0188_SOXQ,SOXQ,2026-05-13T17:49:53.416359Z,2026-05-14T13:33:53.155991Z,1111,94.9,93.95,-1053.09,-0.01,0,breakout_momentum_v1,breakout_momentum_v2_threshold_tuned,1.0,0.85,Strong bullish momentum (15.83%) indicates breakout (intraday weak: smoothed=-0.15%),,broker_fill,broker_reconstructed,,neutral,neutral
broker_match_0072_GTOP,GTOP,2026-05-13T17:49:58.925428Z,2026-05-14T13:32:53.838732Z,1061,46.52,46.68,173.37,0.0035,0,breakout_momentum_v1_intraday_enhanced,breakout_momentum_v2_threshold_tuned,0.6490765171503972,0.45976253298153136,"Strong bullish momentum (5.41%) indicates breakout + Intraday confirmed (smoothed=26.40%, VWAP=neutral)",,broker_fill,broker_reconstructed,,neutral,neutral
broker_match_0179_SMHX,SMHX,2026-05-13T17:50:05.332741Z,2026-05-14T13:32:31.346936Z,280,56.96,56.6,-101.39,-0.0064,0,breakout_momentum_v1_intraday_enhanced,breakout_momentum_v2_threshold_tuned,1.0,0.85,"Strong bullish momentum (13.88%) indicates breakout + Intraday confirmed (smoothed=3.31%, VWAP=neutral)",,broker_fill,broker_reconstructed,,neutral,neutral
broker_match_0157_QTUM,QTUM,2026-05-14T14:31:12.859132Z,2026-05-14T15:14:19.206625Z,651,147.42,147.89,305.97,0.0032,0,breakout_momentum_v1_intraday_enhanced,breakout_momentum_v2_threshold_tuned,0.8976505536051852,0.6358358088036729,"Strong bullish momentum (7.48%) indicates breakout + Intraday confirmed (smoothed=0.82%, VWAP=neutral)",,broker_fill,broker_reconstructed,,neutral,neutral
