endpoint,started_at,duration_ms,status,error_type,retry_count,symbol
broker.fetch_bars,2026-06-25T02:11:10.351671+00:00,2016.3,ok,,0,LRCX
broker.fetch_bars,2026-06-25T02:11:12.358127+00:00,490.7,ok,,0,CHPS
broker.fetch_bars,2026-06-25T02:11:12.325879+00:00,525.4,ok,,0,CRDO
broker.fetch_bars,2026-06-25T02:11:12.363528+00:00,1991.3,ok,,0,SOXQ
broker.fetch_bars,2026-06-25T02:11:12.361408+00:00,2003.3,ok,,0,AMD
broker.fetch_bars,2026-06-25T02:11:10.356587+00:00,4463.1,error,SourceRateLimitError,0,DELL
broker.fetch_bars,2026-06-25T02:11:10.352120+00:00,4471.0,error,SourceRateLimitError,0,KLAC
broker.fetch_bars,2026-06-25T02:11:12.850250+00:00,2005.8,ok,,0,ASML
broker.fetch_bars,2026-06-25T02:11:12.368488+00:00,4461.6,error,SourceRateLimitError,0,SMH
broker.fetch_bars,2026-06-25T02:11:12.362426+00:00,4475.6,error,SourceRateLimitError,0,AMAT
broker.fetch_bars,2026-06-25T02:11:12.852406+00:00,4455.4,error,SourceRateLimitError,0,CHPX
broker.fetch_account,2026-06-25T13:25:03.705600+00:00,512.8,ok,,0,
broker.fetch_positions,2026-06-25T13:25:07.440739+00:00,482.3,ok,,0,
broker.fetch_account,2026-06-25T13:35:03.620689+00:00,737.2,ok,,0,
broker.fetch_positions,2026-06-25T13:35:16.406246+00:00,487.0,ok,,0,
broker.fetch_account,2026-06-25T16:00:04.199327+00:00,898.1,ok,,0,
broker.fetch_positions,2026-06-25T16:00:09.890134+00:00,492.2,ok,,0,
broker.fetch_account,2026-06-25T19:55:02.715913+00:00,819.0,ok,,0,
broker.fetch_positions,2026-06-25T19:55:06.027364+00:00,491.2,ok,,0,
broker.fetch_bars,2026-06-25T19:55:12.733227+00:00,540.3,ok,,0,NBIS
broker.fetch_bars,2026-06-25T19:55:12.732696+00:00,587.7,ok,,0,SOXQ
broker.fetch_bars,2026-06-25T19:55:12.732340+00:00,624.3,ok,,0,SOXX
broker.fetch_bars,2026-06-25T19:55:12.733422+00:00,730.8,ok,,0,MU
broker.fetch_bars,2026-06-25T19:55:12.734103+00:00,873.6,ok,,0,KLAC
broker.fetch_bars,2026-06-25T19:55:12.734767+00:00,971.4,ok,,0,INTC
broker.fetch_bars,2026-06-25T19:55:13.275747+00:00,508.9,ok,,0,FTXL
broker.fetch_bars,2026-06-25T19:55:12.732915+00:00,1128.0,ok,,0,SMH
broker.fetch_bars,2026-06-25T19:55:13.358703+00:00,553.3,ok,,0,CHPS
broker.fetch_bars,2026-06-25T19:55:13.322474+00:00,674.8,ok,,0,CRDO
broker.fetch_bars,2026-06-25T19:55:12.733618+00:00,1333.1,ok,,0,LRCX
broker.fetch_bars,2026-06-25T19:55:13.466286+00:00,667.9,ok,,0,ASML
broker.fetch_bars,2026-06-25T19:55:13.786764+00:00,503.0,ok,,0,CHPX
broker.fetch_bars,2026-06-25T19:55:13.914065+00:00,493.9,ok,,0,PTF
broker.fetch_bars,2026-06-25T19:55:13.863055+00:00,578.7,ok,,0,PANW
broker.fetch_bars,2026-06-25T19:55:13.609781+00:00,861.5,ok,,0,AMD
broker.fetch_bars,2026-06-25T19:55:13.708211+00:00,917.6,ok,,0,AMAT
broker.fetch_bars,2026-06-25T19:55:14.009534+00:00,816.5,ok,,0,ANET
broker.fetch_account,2026-06-26T13:25:04.061119+00:00,674.0,ok,,0,
broker.fetch_positions,2026-06-26T13:25:07.942777+00:00,483.0,ok,,0,
broker.fetch_account,2026-06-26T13:35:03.823304+00:00,741.4,ok,,0,
broker.fetch_positions,2026-06-26T13:35:08.926473+00:00,565.3,ok,,0,
broker.fetch_account,2026-06-26T16:00:03.510933+00:00,1041.3,ok,,0,
broker.fetch_positions,2026-06-26T16:00:09.144736+00:00,704.4,ok,,0,
broker.fetch_account,2026-06-26T19:55:02.842647+00:00,541.9,ok,,0,
broker.fetch_positions,2026-06-26T19:55:05.940204+00:00,492.1,ok,,0,
broker.fetch_bars,2026-06-26T19:55:11.435024+00:00,547.9,ok,,0,PANW
broker.fetch_bars,2026-06-26T19:55:11.436080+00:00,561.2,ok,,0,LRCX
broker.fetch_bars,2026-06-26T19:55:11.437433+00:00,571.8,ok,,0,CRDO
broker.fetch_bars,2026-06-26T19:55:11.435439+00:00,589.5,ok,,0,NBIS
broker.fetch_bars,2026-06-26T19:55:11.436957+00:00,606.3,ok,,0,INTC
broker.fetch_bars,2026-06-26T19:55:11.436605+00:00,629.5,ok,,0,KLAC
broker.fetch_bars,2026-06-26T19:55:11.435832+00:00,755.1,ok,,0,MU
broker.fetch_bars,2026-06-26T19:55:11.985139+00:00,601.7,ok,,0,CHPS
broker.fetch_bars,2026-06-26T19:55:11.447401+00:00,1241.7,ok,,0,AMAT
broker.fetch_account,2026-06-29T13:25:04.687559+00:00,521.8,ok,,0,
broker.fetch_positions,2026-06-29T13:25:08.692870+00:00,488.0,ok,,0,
broker.fetch_account,2026-06-29T13:35:04.092410+00:00,560.9,ok,,0,
broker.fetch_positions,2026-06-29T13:35:08.915967+00:00,585.7,ok,,0,
broker.fetch_account,2026-06-30T13:25:03.872602+00:00,555.9,ok,,0,
broker.fetch_positions,2026-06-30T13:25:07.799205+00:00,523.8,ok,,0,
broker.fetch_account,2026-06-30T13:35:03.598236+00:00,744.8,ok,,0,
broker.fetch_positions,2026-06-30T13:35:08.638492+00:00,589.4,ok,,0,
broker.fetch_account,2026-06-30T16:00:03.624469+00:00,1046.7,ok,,0,
broker.fetch_positions,2026-06-30T16:00:08.675334+00:00,646.4,ok,,0,
broker.fetch_account,2026-06-30T19:55:07.101721+00:00,529.6,ok,,0,
broker.fetch_positions,2026-06-30T19:55:10.208692+00:00,488.2,ok,,0,
broker.fetch_bars,2026-06-30T19:55:16.116889+00:00,494.7,ok,,0,SMHX
broker.fetch_bars,2026-06-30T19:55:16.115600+00:00,523.3,ok,,0,TTEQ
broker.fetch_bars,2026-06-30T19:55:16.118294+00:00,532.2,ok,,0,SMH
broker.fetch_bars,2026-06-30T19:55:16.116657+00:00,601.2,ok,,0,SOXQ
broker.fetch_bars,2026-06-30T19:55:16.116391+00:00,619.7,ok,,0,SOXX
broker.fetch_bars,2026-06-30T19:55:16.119915+00:00,617.7,ok,,0,RBRK
