cumulative_closed_trades,cumulative_profit_factor,cumulative_win_rate,date,equity,loss_count,orders_submitted,realized_pnl,signals_generated,total_pnl,trade_count,unrealized_pnl,win_count
235,1.3131,0.5362,2026-07-02,1028341.32,0,2,0,10,0.0,0,0.0,0
235,1.3131,0.5362,2026-07-02,999139.74,3,1,-4367.52,15,-4367.52,3,0.0,0
235,1.3131,0.5362,2026-07-02,989511.82,4,3,-10065.27,17,-10065.27,4,0.0,0
235,1.3131,0.5362,2026-07-03,991632.39,0,0,0,0,-62952.86,0,-62952.86,0
235,1.3131,0.5362,2026-07-04,991268.51,0,0,0,0,-40649.51,0,-40649.51,0
235,1.3131,0.5362,2026-07-06,1008451.74,0,3,0,12,0.0,0,0.0,0
238,1.2712,0.5294,2026-07-07,1008830.48,0,0,0,0,-17353.48,0,-17353.48,0
238,1.2712,0.5294,2026-07-07,999349.8,0,2,0,17,0.0,0,0.0,0
238,1.2712,0.5294,2026-07-07,992669.2,0,6,0,19,0.0,0,0.0,0
246,1.0658,0.5122,2026-07-07,1014337.91,8,3,-34913.3,14,-34913.3,8,0.0,0
247,1.088,0.5142,2026-07-08,1011592.36,0,1,0,13,0.0,0,0.0,0
247,1.088,0.5142,2026-07-08,1005330.36,0,3,0,13,0.0,0,0.0,0
249,1.0904,0.5181,2026-07-08,1010534.48,0,1,515.31,12,515.31,2,0.0,2
250,0.6276,0.464,2026-07-09,1009852.44,0,0,0,0,-10295.73,0,-10295.73,0
250,0.6276,0.464,2026-07-09,1010242.08,0,3,0,13,0.0,0,0.0,0
253,0.6195,0.4585,2026-07-09,1018080.01,3,3,-3937.92,14,-3937.92,3,0.0,0
253,0.6195,0.4585,2026-07-09,1018649.83,3,1,-3937.92,15,-3937.92,3,0.0,0
253,0.6195,0.4585,2026-07-10,1019812.79,0,0,0,0,3797.65,0,3797.65,0
199,0.9694,0.4925,2026-07-10,1022784.29,0,2,0,16,0.0,0,0.0,0
199,0.9694,0.4925,2026-07-11,1009322.03,0,0,0,0,-6656.16,0,-6656.16,0
199,0.9694,0.4925,2026-07-13,1007053.48,0,7,0,20,0.0,0,0.0,0
201,0.9621,0.4876,2026-07-13,1005521.54,2,1,-1405.04,17,-1405.04,2,0.0,0
201,0.9621,0.4876,2026-07-14,1003989.07,0,0,0,0,-4379.95,0,-4379.95,0
245,0.6456,0.4122,2026-07-14,1002105.95,0,2,0,13,0.0,0,0.0,0
247,0.6397,0.4089,2026-07-15,1012164.98,0,0,0,0,1405.2,0,1405.2,0
247,0.6397,0.4089,2026-07-15,1018082.26,0,4,0,19,0.0,0,0.0,0
247,0.6397,0.4089,2026-07-15,1006342.19,0,7,0,22,0.0,0,0.0,0
252,0.6314,0.4087,2026-07-15,1004773.44,3,1,-4836.44,17,-4836.44,5,0.0,2
252,0.6314,0.4087,2026-07-16,1004867.96,0,0,0,0,1292.71,0,1292.71,0
252,0.6314,0.4087,2026-07-16,1001735.72,0,3,0,15,0.0,0,0.0,0
254,0.6253,0.4055,2026-07-16,1004188.87,2,2,-2619.12,12,-2619.12,2,0.0,0
255,0.6197,0.4039,2026-07-16,1000843.35,3,0,-5055.28,10,-5055.28,3,0.0,0
255,0.6197,0.4039,2026-07-17,1000540.21,0,0,0,0,1968.52,0,1968.52,0
255,0.6197,0.4039,2026-07-17,997008.85,0,2,0,8,0.0,0,0.0,0
258,0.6197,0.407,2026-07-18,995895.16,0,0,0,0,-2213.71,0,-2213.71,0
258,0.6197,0.407,2026-07-20,997417.32,0,2,0,6,0.0,0,0.0,0
258,0.6197,0.407,2026-07-20,999672.45,0,1,0,8,0.0,0,0.0,0
259,0.6244,0.4093,2026-07-21,999126.49,0,0,0,0,-377.95,0,-377.95,0
259,0.6244,0.4093,2026-07-21,998427.39,0,1,0,3,0.0,0,0.0,0
262,0.619,0.4046,2026-07-21,996119.17,3,0,-2400.42,2,-2400.42,3,0.0,0
262,0.619,0.4046,2026-07-21,995245.63,3,1,-2400.42,2,-2400.42,3,0.0,0
263,0.6206,0.4068,2026-07-22,994516.01,0,0,0,0,-3029.18,0,-3029.18,0
183,0.686,0.4262,2026-07-22,992992.16,0,2,0,6,0.0,0,0.0,0
183,0.686,0.4262,2026-07-22,990279.38,0,3,0,8,0.0,0,0.0,0
184,0.685,0.4239,2026-07-22,989119.59,1,1,-303.66,8,-303.66,1,0.0,0
185,0.6782,0.4216,2026-07-23,987498.85,0,0,0,0,-7639.81,0,-7639.81,0
