date,equity,drawdown_pct,realized_pnl,unrealized_pnl
2026-07-23,984292.57,-12.1301,-6014.37,0.0
2026-07-23,983434.83,-12.2067,-6014.37,0.0
2026-07-24,984060.96,-12.1508,0,-5198.26
2026-07-24,985860.59,-11.9901,0,0.0
2026-07-25,983695.46,-12.1834,0,-5564.18
2026-07-27,985678.4,-12.0064,0,-3535.69
2026-07-27,985682.72,-12.006,0,-3531.37
2026-07-27,985682.72,-12.006,0,-3531.37
2026-07-27,985682.72,-12.006,0,-3531.37
2026-07-27,986282.83,-11.9525,0,-2931.26
2026-07-27,986832.6,-11.9034,0,0.0
2026-07-27,983595.73,-12.1923,0,0.0
2026-07-27,983994.49,-12.1567,0,0.0
2026-07-28,983717.77,-12.1814,0,-4004.99
2026-07-28,977818.52,-12.7081,0,0.0
2026-07-29,979587.82,-12.5501,0,-2042.02
