trade_id,symbol,entry_time,exit_time,hd_actual,exit_reason,pnl,also_quarantined
broker_match_0118_KLAC,KLAC,2026-07-01T16:01:15,2026-07-01T13:37:20,-0.0999,trailing_stop,328.28,True
broker_match_0171_PSCT,PSCT,2026-05-13T17:49:42,2026-05-13T14:45:59,-0.1276,stop_loss,-697.41,False
broker_match_0172_PSCT,PSCT,2026-05-13T17:49:42,2026-05-13T17:32:25,-0.012,stop_loss,-121.8,False
broker_match_0174_PSCT,PSCT,2026-05-14T14:31:21,2026-05-14T13:33:23,-0.0403,stop_loss,-1118.48,False
broker_match_0175_PSCT,PSCT,2026-05-15T14:14:32,2026-05-14T13:33:23,-1.0286,stop_loss,1.57,False
broker_match_0176_PSCT,PSCT,2026-05-15T14:14:32,2026-05-14T15:14:11,-0.9586,stop_loss,794.62,False
broker_match_0177_PSCT,PSCT,2026-06-25T13:36:46,2026-05-14T15:14:11,-41.9323,time_based,-980.2,False
broker_match_0178_PSCT,PSCT,2026-06-25T13:36:46,2026-05-14T17:23:40,-41.8424,trailing_stop,-1768.55,False
broker_match_0179_PTF,PTF,2026-05-13T17:32:31,2026-05-13T14:46:04,-0.1156,stop_loss,-1496.88,True
broker_match_0181_PTF,PTF,2026-05-14T14:31:16,2026-05-14T13:31:33,-0.0415,stop_loss,-1166.24,True
broker_match_0182_PTF,PTF,2026-05-14T17:23:51,2026-05-14T13:31:33,-0.1613,stop_loss,-7.0,False
broker_match_0183_PTF,PTF,2026-05-14T17:23:51,2026-05-14T15:14:22,-0.0899,stop_loss,273.78,True
broker_match_0184_PTF,PTF,2026-05-15T14:14:43,2026-05-14T15:14:22,-0.9586,stop_loss,19.86,False
broker_match_0185_PTF,PTF,2026-05-15T14:14:43,2026-05-15T13:33:46,-0.0284,stop_loss,-356.41,True
broker_match_0186_PTF,PTF,2026-06-25T13:37:03,2026-05-15T13:33:46,-41.0023,stop_loss,-4939.98,False
broker_match_0193_QTUM,QTUM,2026-05-13T17:32:28,2026-05-13T14:46:08,-0.1155,stop_loss,-1254.87,False
broker_match_0195_QTUM,QTUM,2026-05-14T14:31:12,2026-05-14T13:34:52,-0.0391,stop_loss,-833.43,False
broker_match_0196_QTUM,QTUM,2026-05-14T17:23:44,2026-05-14T13:34:52,-0.1589,stop_loss,-7.68,False
broker_match_0197_QTUM,QTUM,2026-05-14T17:23:44,2026-05-14T15:14:19,-0.0899,stop_loss,302.21,True
broker_match_0198_QTUM,QTUM,2026-05-15T14:02:33,2026-05-14T15:14:19,-0.9502,stop_loss,40.88,False
broker_match_0199_QTUM,QTUM,2026-05-15T14:02:33,2026-05-15T13:32:47,-0.0207,stop_loss,-102.18,True
broker_match_0205_SHOC,SHOC,2026-05-13T17:49:45,2026-05-13T14:46:12,-0.1275,stop_loss,-1209.6,False
broker_match_0207_SHOC,SHOC,2026-05-14T14:31:24,2026-05-14T13:30:28,-0.0423,stop_loss,-1398.6,False
broker_match_0208_SHOC,SHOC,2026-05-14T17:23:53,2026-05-14T15:30:37,-0.0787,stop_loss,687.66,False
broker_match_0229_SOXQ,SOXQ,2026-05-13T17:49:53,2026-05-13T15:02:23,-0.1163,stop_loss,-431.34,False
broker_match_0231_SOXQ,SOXQ,2026-05-14T14:31:44,2026-05-14T13:33:53,-0.0402,stop_loss,-153.81,False
broker_match_0232_SOXQ,SOXQ,2026-05-14T17:24:10,2026-05-14T13:33:53,-0.1599,stop_loss,-488.2,False
broker_match_0233_SOXQ,SOXQ,2026-05-14T17:24:10,2026-05-14T15:30:45,-0.0788,stop_loss,152.01,False
broker_match_0234_SOXQ,SOXQ,2026-05-15T14:02:36,2026-05-14T15:30:45,-0.9388,stop_loss,21.6,False
broker_match_0235_SOXQ,SOXQ,2026-05-15T14:02:36,2026-05-15T13:32:21,-0.021,stop_loss,293.09,False
broker_match_0236_SOXQ,SOXQ,2026-06-25T13:37:04,2026-05-15T13:32:21,-41.0033,stop_loss,-7584.04,False
broker_match_0237_SOXX,SOXX,2026-05-14T17:24:04,2026-05-13T15:02:28,-1.0983,stop_loss,20.32,False
broker_match_0239_SOXX,SOXX,2026-05-15T14:02:45,2026-05-15T13:31:12,-0.0219,stop_loss,33.97,False
broker_match_0242_SOXX,SOXX,2026-06-25T13:36:50,2026-06-04T14:06:13,-20.9796,trailing_stop,-1874.6,True
broker_match_0250_TTEQ,TTEQ,2026-05-13T17:49:50,2026-05-13T15:02:31,-0.1162,stop_loss,-577.6,False
broker_match_0252_TTEQ,TTEQ,2026-05-14T14:31:32,2026-05-14T13:33:06,-0.0406,stop_loss,-694.42,False
broker_match_0254_TTEQ,TTEQ,2026-05-14T17:23:57,2026-05-14T15:30:49,-0.0786,stop_loss,136.8,False
broker_match_0256_TTEQ,TTEQ,2026-05-15T14:14:26,2026-05-15T13:33:00,-0.0288,stop_loss,-362.08,False
