trade_id,symbol,asset_class,entry_time,exit_time,holding_days,quantity,entry_price,exit_price,realized_pnl,quarantine_reason,exit_reason
broker_match_0020_AMZN,AMZN,stock,2026-05-14T15:30:59.845589Z,2026-05-13T15:30:47.574946Z,-1.0001,,267.73,266.84,,migrate_quarantine_invalid_trades: entry_time=2026-05-14T15:30:59 exit_time=2026-05-13T15:30:47 holding_days=-1.0001,broker_fill
broker_match_0021_ANET,ANET,stock,2026-06-04T14:02:50.490488Z,2026-06-01T17:04:17.915384Z,-2.874,,159.31,170.21,,migrate_quarantine_invalid_trades: entry_time=2026-06-04T14:02:50 exit_time=2026-06-01T17:04:17 holding_days=-2.8740,broker_fill
broker_match_0022_ANET,ANET,stock,2026-06-09T19:56:09.823441Z,2026-06-01T17:04:17.915384Z,-8.1194,,151.99,170.21,,migrate_quarantine_invalid_trades: entry_time=2026-06-09T19:56:09 exit_time=2026-06-01T17:04:17 holding_days=-8.1194,broker_fill
broker_match_0023_ANET,ANET,stock,2026-06-09T19:56:09.823441Z,2026-06-08T13:33:12.265284Z,-1.2659,,151.99,155.96,,migrate_quarantine_invalid_trades: entry_time=2026-06-09T19:56:09 exit_time=2026-06-08T13:33:12 holding_days=-1.2659,broker_fill
broker_match_0024_ANET,ANET,stock,2026-06-25T16:00:50.989374Z,2026-06-08T13:33:12.265284Z,-17.1025,,167.88,155.96,,migrate_quarantine_invalid_trades: entry_time=2026-06-25T16:00:50 exit_time=2026-06-08T13:33:12 holding_days=-17.1025,broker_fill
broker_match_0025_ANET,ANET,stock,2026-06-25T16:00:50.989374Z,2026-06-25T13:37:11.420643Z,-0.0998,,167.88,166.47,,migrate_quarantine_invalid_trades: entry_time=2026-06-25T16:00:50 exit_time=2026-06-25T13:37:11 holding_days=-0.0998,broker_fill
broker_match_0039_CDNS,CDNS,stock,2026-06-09T19:56:08.89601Z,2026-06-08T13:33:42.801779Z,-1.2656,,390.71,383.39,,migrate_quarantine_invalid_trades: entry_time=2026-06-09T19:56:08 exit_time=2026-06-08T13:33:42 holding_days=-1.2656,broker_fill
broker_match_0065_DELL,DELL,stock,2026-05-13T15:02:55.637694Z,2026-05-13T13:34:38.658007Z,-0.0613,,241.98,241.41,,migrate_quarantine_invalid_trades: entry_time=2026-05-13T15:02:55 exit_time=2026-05-13T13:34:38 holding_days=-0.0613,broker_fill
broker_match_0067_DELL,DELL,stock,2026-05-14T15:31:06.390072Z,2026-05-13T15:31:01.662661Z,-1.0001,,245.56,240.6,,migrate_quarantine_invalid_trades: entry_time=2026-05-14T15:31:06 exit_time=2026-05-13T15:31:01 holding_days=-1.0001,broker_fill
broker_match_0069_DELL,DELL,stock,2026-05-20T13:31:37.846792Z,2026-05-14T17:23:28.763823Z,-5.839,,240.41,244.78,,migrate_quarantine_invalid_trades: entry_time=2026-05-20T13:31:37 exit_time=2026-05-14T17:23:28 holding_days=-5.8390,broker_fill
broker_match_0070_DELL,DELL,stock,2026-05-21T14:10:01.91921Z,2026-05-14T17:23:28.763823Z,-6.8657,,248.4,244.78,,migrate_quarantine_invalid_trades: entry_time=2026-05-21T14:10:01 exit_time=2026-05-14T17:23:28 holding_days=-6.8657,broker_fill
broker_match_0071_DELL,DELL,stock,2026-06-04T14:02:52.011414Z,2026-05-14T17:23:28.763823Z,-20.8607,,406.0,244.78,,migrate_quarantine_invalid_trades: entry_time=2026-06-04T14:02:52 exit_time=2026-05-14T17:23:28 holding_days=-20.8607,broker_fill
