decision_id,symbol,timestamp,model,input_tokens,output_tokens,token_estimated,action,run_id,prompt_version,latency_ms
9e2c3570-ac8e-af7b-20eb-ac4cc0eba98b,AMAT,,rule_based:breakout_momentum_v1,324,20,False,buy,,,
203a8e5b-5373-d69a-92a6-2d0768e81b4f,AMAT,,rule_based:simple_exit_v2,187,20,False,sell,,,
6bd95507-e0dd-7720-4deb-5bdaf745bada,AMAT,,rule_based:breakout_momentum_v1,135,20,False,buy,,,
63c9d072-27fc-b5f8-de1a-c7f66127a67f,AMAT,,rule_based:breakout_momentum_v1,324,20,False,buy,,,
82351b28-3c31-db61-e927-f2eaaedffb8b,AMAT,,rule_based:breakout_momentum_v1,134,20,False,buy,,,
280fc29e-46f2-1689-a0e6-f95a3b87c895,AMAT,,rule_based:simple_exit_v2,187,20,False,sell,,,
bf7791b5-140b-e6ff-9723-905ba70a26b8,AMAT,,rule_based:breakout_momentum_v1,324,20,False,buy,,,
850382e4-0061-828a-1585-51bf6c8942d8,AMAT,,rule_based:breakout_momentum_v1,134,27,False,buy,,,
07cbc341-373a-c151-cf95-ac05c8ea5980,AMAT,,rule_based:simple_exit_v2,109,20,False,sell,,,
959d3769-b949-1357-d0a6-151618325dfe,AMAT,,rule_based:breakout_momentum_v1,143,37,False,deny,,,
0d0c735c-07d5-3e53-2772-16affdf5b264,AMAT,,rule_based:simple_exit_v2,109,20,False,sell,,,
c53380cb-48ae-bcbc-076c-02da2f2ca236,AMAT,,rule_based:simple_exit_v2,184,20,False,sell,,,
6aa13eb1-4513-7905-95a5-1bf6668eb497,AMD,,rule_based:breakout_momentum_v1,242,20,False,buy,,,
e93c4ba8-940b-4a99-9d07-2248961de091,AMD,,rule_based:breakout_momentum_v1,256,20,False,buy,,,
3fd5d572-0646-181b-6171-58e20b8640a2,AMD,,rule_based:breakout_momentum_v1_intraday_enhanced,256,20,False,buy,,,
c2caaae4-5dee-bda6-ba38-306708624784,AMD,,rule_based:breakout_momentum_v1,256,20,False,buy,,,
fe8dbc2c-f705-335b-fdda-637da9b0fdc0,AMD,,rule_based:breakout_momentum_v1,256,20,False,buy,,,
9620474a-2100-a4a1-d58e-7d7077e75fce,AMD,,rule_based:breakout_momentum_v1_intraday_enhanced,252,20,False,buy,,,
527ad708-d2ad-a41f-163c-28c425e1a9ee,AMD,,rule_based:breakout_momentum_v1,242,20,False,buy,,,
fa1c4835-9369-1e3f-61de-7c0daf5e5182,AMD,,rule_based:breakout_momentum_v1,247,20,False,buy,,,
5acc1a44-3bf0-797e-f70d-5211220c2881,AMD,,rule_based:breakout_momentum_v1,238,20,False,buy,,,
9bd7e8ac-f24b-61c6-1a7a-4fe11aee9783,AMD,,rule_based:breakout_momentum_v1,247,20,False,buy,,,
20ad7aec-8eb6-211d-7344-bdcd27613e30,AMD,,rule_based:breakout_momentum_v1,247,20,False,buy,,,
b33a032d-0aa0-2700-afed-9d578f8ba66c,AMD,,rule_based:breakout_momentum_v1,246,20,False,buy,,,
4dc372fc-c328-6b56-0a36-a18e8506d489,AMD,,rule_based:breakout_momentum_v1,248,20,False,buy,,,
d11ebff9-1f3d-27ea-9e04-4ae6b63fe537,AMD,,rule_based:breakout_momentum_v1,248,20,False,buy,,,
f16ed55b-397d-70d4-5a21-91b967a0cab8,AMD,,rule_based:breakout_momentum_v1,247,20,False,buy,,,
e0a83981-14df-91d6-5dfc-d5402b6004b1,AMD,,rule_based:breakout_momentum_v1,248,20,False,buy,,,
63367451-7d79-b9ff-c507-376d2242622f,AMD,,rule_based:breakout_momentum_v1,247,20,False,buy,,,
f7591aef-906a-cb98-a479-5d7ca7ef91af,AMD,,rule_based:breakout_momentum_v1,247,20,False,buy,,,
b3379915-802f-346b-8bd0-abcc5d265b5b,AMD,,rule_based:breakout_momentum_v1,248,20,False,buy,,,
690019c2-d3db-ad1f-0bf2-f75222412cfa,AMD,,rule_based:breakout_momentum_v1,239,20,False,buy,,,
08818b76-9b41-6a6e-2f83-4c4a6895e771,AMD,,rule_based:breakout_momentum_v1,95,20,False,buy,,,
4c1e5c8d-1dd7-de07-80b9-d6ec3e769bd8,AMD,,rule_based:breakout_momentum_v1,252,27,False,buy,,,
1e38167a-d602-e81b-300e-112430303888,AMD,,rule_based:breakout_momentum_v1,251,27,False,buy,,,
b16ae8dc-cf85-4b4f-c16e-207060ddb493,AMD,,rule_based:breakout_momentum_v1,248,20,False,buy,,,
46e9d9ff-5b5f-0f63-8132-b0441b908ef4,AMD,,rule_based:simple_exit_v2,116,20,False,sell,,,
8dc84cbd-1deb-a663-da53-a0584e2d4b59,AMD,,rule_based:breakout_momentum_v1,246,20,False,buy,,,
843ce6b4-0e15-0a51-a417-f0bedd82057f,AMD,,rule_based:breakout_momentum_v1,240,20,False,buy,,,
572455dc-3120-22d5-be83-a599e78fe94a,AMD,,rule_based:breakout_momentum_v1,248,20,False,buy,,,
ebd9e432-74ca-9019-2d61-1a4e745b4e1b,AMD,,rule_based:breakout_momentum_v1,249,20,False,buy,,,
422ee883-6ba6-fd82-f370-b0de1edbf3db,AMD,,rule_based:breakout_momentum_v1,238,20,False,buy,,,
c2374cce-d149-f1d5-90a9-b219776c4d33,AMD,,rule_based:breakout_momentum_v1,243,20,False,buy,,,
46f60c1d-22c8-cd42-ae08-78c6a7686410,AMD,,rule_based:breakout_momentum_v1,82,20,False,buy,,,
8935bd5d-8ed5-85a4-c1c6-f2dbcd9b6a18,AMD,,rule_based:breakout_momentum_v1,82,20,False,buy,,,
d1b2ced6-09bd-d44d-2c58-e495725d6162,AMD,,rule_based:breakout_momentum_v1,80,20,False,buy,,,
01b67f02-1032-aa5f-ffc3-ada667f788f1,AMD,,rule_based:simple_exit_v2,234,20,False,sell,,,
f779ee18-fe6d-c376-645c-e77d54499f81,AMD,,rule_based:simple_exit_v2,225,20,False,sell,,,
0722e5b1-8c18-f3c2-cef2-4d343cfe902e,AMD,,rule_based:breakout_momentum_v1,81,20,False,buy,,,
7c4533c1-c7a6-10fc-e2a9-142a999ee0fd,AMD,,rule_based:breakout_momentum_v1,134,20,False,buy,,,
507ecb63-a81b-e0e8-68c5-72e2a26ac996,AMD,,rule_based:breakout_momentum_v1,325,20,False,buy,,,
22b952e3-e448-e239-3c57-334c53728863,AMD,,rule_based:breakout_momentum_v1_intraday_enhanced,147,20,False,buy,,,
a4004f86-14ae-8fcd-dbbe-f85dbeb622e2,AMD,,rule_based:breakout_momentum_v1,324,20,False,buy,,,
41495093-2186-6203-06ed-3154ee3d480f,AMD,,rule_based:breakout_momentum_v1,133,20,False,buy,,,
9421b600-da76-c409-e7af-69f3185e8580,AMD,,rule_based:simple_exit_v2,187,20,False,sell,,,
dbd6857e-7d7e-d4d9-9ceb-0294b6f75bc3,AMD,,rule_based:breakout_momentum_v1,324,20,False,buy,,,
9b8a6025-1afc-2506-677f-4a6cb9c19caf,AMD,,breakout_momentum_v1,143,37,False,deny,,breakout_momentum_v2_threshold_tuned,
7f6340d5-6d71-b930-4e29-7bcc63d7d135,AMD,,simple_exit_v2,115,20,False,sell,,simple_exit_v2,
417df85c-2cc3-1a6c-2898-36b97e8fc0b4,AMZN,,rule_based:breakout_momentum_v1,250,20,False,buy,,,
67b8dc35-9a02-31c0-1a09-0ebfcdfb3b1f,AMZN,,rule_based:breakout_momentum_v1_intraday_enhanced,251,20,False,buy,,,
14bf973a-ec86-8e00-d60b-f3953616f5ad,AMZN,,rule_based:breakout_momentum_v1,250,20,False,buy,,,
e77cc184-5247-0deb-496f-420634c042ab,AMZN,,rule_based:breakout_momentum_v1,250,20,False,buy,,,
0da32333-c98b-586b-f743-9757e5c33d5f,AMZN,,breakout_momentum_v1,131,27,False,buy,,breakout_momentum_v2_threshold_tuned,
575fb445-4f97-c7dc-8f2a-7bb7240fe62e,AMZN,,breakout_momentum_v1,134,27,False,buy,,breakout_momentum_v2_threshold_tuned,
5ca7be1d-4161-3d5c-7e4b-26e0200af79e,AMZN,,breakout_momentum_v1,143,27,False,buy,,breakout_momentum_v2_threshold_tuned,
c2c22cba-7215-bf4a-54a8-ff09844dd4ae,AMZN,,breakout_momentum_v1,144,37,False,deny,,breakout_momentum_v2_threshold_tuned,
f1cdb3c0-de14-3bad-14d1-21f724a58833,AMZN,,breakout_momentum_v1,135,27,False,buy,,breakout_momentum_v2_threshold_tuned,
979a334b-3fee-402d-9190-8aea5404f526,AMZN,,simple_exit_v2,114,20,False,sell,,simple_exit_v2,
7b7b93cd-1177-bcbf-e90f-ecdc62f3e28e,ANET,,rule_based:breakout_momentum_v1,100,31,False,deny,,,
c173db97-0df1-bd18-2229-a9f7c11cb5f0,ANET,,rule_based:breakout_momentum_v1_intraday_enhanced,104,31,False,deny,,,
a982cb03-3fa1-77e7-6b7a-e33d8a2839da,ANET,,rule_based:breakout_momentum_v1_intraday_enhanced,104,31,False,deny,,,
e0abbcd3-3072-2c08-64a8-ad18c7dfc75c,ANET,,rule_based:breakout_momentum_v1,99,31,False,deny,,,
a922cac9-6110-106e-d805-ea48b8f52dea,ANET,,rule_based:breakout_momentum_v1,94,31,False,deny,,,
e47c033e-54cf-7e94-fb2f-4ae2ddb13831,ANET,,rule_based:breakout_momentum_v1,94,39,False,deny,,,
1b9bfe2c-825c-ad72-6f6f-d9abcd1bfeb4,ANET,,rule_based:breakout_momentum_v1,94,38,False,deny,,,
74dbfa3c-7848-792f-215c-b6d833885db9,ANET,,rule_based:breakout_momentum_v1,254,27,False,buy,,,
